INFO 2024-04-28 22:56:20,824 autoreload Watching for file changes with StatReloader
DEBUG 2024-04-28 22:56:20,827 autoreload Waiting for apps ready_event.
DEBUG 2024-04-28 22:56:20,855 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-04-28 22:56:20,869 autoreload Watching dir /app/locale with glob **/*.mo.
DEBUG 2024-04-28 22:56:20,869 autoreload Watching dir /app/transcendence/locale with glob **/*.mo.
DEBUG 2024-04-28 22:56:20,870 autoreload Watching dir /usr/local/lib/python3.8/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2024-04-28 22:56:20,933 autoreload File /usr/local/lib/python3.8/site-packages/django/core/servers/__init__.py first seen with mtime 1714344749.455953
DEBUG 2024-04-28 22:56:20,940 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/sites/__init__.py first seen with mtime 1714344749.3859527
DEBUG 2024-04-28 22:56:20,941 utils (0.002) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2024-04-28 22:56:20,941 autoreload File /usr/local/lib/python3.8/site-packages/django/core/files/utils.py first seen with mtime 1714344749.445953
DEBUG 2024-04-28 22:56:20,944 autoreload File /usr/local/lib/python3.8/site-packages/django/db/models/signals.py first seen with mtime 1714344749.4759529
DEBUG 2024-04-28 22:56:20,944 autoreload File /usr/local/lib/python3.8/site-packages/django/middleware/common.py first seen with mtime 1714344749.4959528
DEBUG 2024-04-28 22:56:20,944 utils (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-04-28 22:56:20,945 autoreload File /usr/local/lib/python3.8/site-packages/django/db/models/sql/__init__.py first seen with mtime 1714344749.4759529
DEBUG 2024-04-28 22:56:20,945 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1714344749.055953
DEBUG 2024-04-28 22:56:20,946 autoreload File /usr/local/lib/python3.8/email/feedparser.py first seen with mtime 1713964027.0
DEBUG 2024-04-28 22:56:20,946 autoreload File /usr/local/lib/python3.8/site-packages/sqlparse/filters/__init__.py first seen with mtime 1714344748.565953
DEBUG 2024-04-28 22:56:20,946 autoreload File /usr/local/lib/python3.8/contextvars.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,947 autoreload File /usr/local/lib/python3.8/site-packages/sqlparse/filters/reindent.py first seen with mtime 1714344748.565953
DEBUG 2024-04-28 22:56:20,947 autoreload File /usr/local/lib/python3.8/sre_compile.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,947 autoreload File /usr/local/lib/python3.8/_compat_pickle.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,948 autoreload File /usr/local/lib/python3.8/site-packages/django/core/serializers/python.py first seen with mtime 1714344749.455953
DEBUG 2024-04-28 22:56:20,948 autoreload File /usr/local/lib/python3.8/asyncio/tasks.py first seen with mtime 1713964026.0
DEBUG 2024-04-28 22:56:20,948 autoreload File /usr/local/lib/python3.8/site-packages/sqlparse/filters/tokens.py first seen with mtime 1714344748.565953
DEBUG 2024-04-28 22:56:20,949 autoreload File /usr/local/lib/python3.8/lib-dynload/_asyncio.cpython-38-x86_64-linux-gnu.so first seen with mtime 1713964013.0
DEBUG 2024-04-28 22:56:20,949 autoreload File /usr/local/lib/python3.8/site-packages/django/views/generic/detail.py first seen with mtime 1714344749.5159528
DEBUG 2024-04-28 22:56:20,949 autoreload File /usr/local/lib/python3.8/threading.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,950 autoreload File /usr/local/lib/python3.8/site-packages/django/utils/_os.py first seen with mtime 1714344749.5059528
DEBUG 2024-04-28 22:56:20,950 autoreload File /usr/local/lib/python3.8/site-packages/django/core/handlers/asgi.py first seen with mtime 1714344749.445953
DEBUG 2024-04-28 22:56:20,950 autoreload File /usr/local/lib/python3.8/site-packages/django/db/migrations/recorder.py first seen with mtime 1714344749.4659529
DEBUG 2024-04-28 22:56:20,950 autoreload File /usr/local/lib/python3.8/asyncio/locks.py first seen with mtime 1713964026.0
DEBUG 2024-04-28 22:56:20,951 autoreload File /usr/local/lib/python3.8/site-packages/django/core/mail/__init__.py first seen with mtime 1714344749.445953
DEBUG 2024-04-28 22:56:20,951 autoreload File /usr/local/lib/python3.8/site-packages/django/db/backends/base/schema.py first seen with mtime 1714344749.455953
DEBUG 2024-04-28 22:56:20,955 autoreload File /usr/local/lib/python3.8/ipaddress.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,955 autoreload File /usr/local/lib/python3.8/lib-dynload/zlib.cpython-38-x86_64-linux-gnu.so first seen with mtime 1713964017.0
DEBUG 2024-04-28 22:56:20,957 autoreload File /usr/local/lib/python3.8/site-packages/django/db/models/sql/query.py first seen with mtime 1714344749.4759529
DEBUG 2024-04-28 22:56:20,957 autoreload File /usr/local/lib/python3.8/site-packages/django/urls/exceptions.py first seen with mtime 1714344749.5059528
DEBUG 2024-04-28 22:56:20,957 autoreload File /usr/local/lib/python3.8/contextlib.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,958 autoreload File /usr/local/lib/python3.8/site-packages/django/core/cache/backends/locmem.py first seen with mtime 1714344749.435953
DEBUG 2024-04-28 22:56:20,958 autoreload File /usr/local/lib/python3.8/bz2.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,958 autoreload File /usr/local/lib/python3.8/site-packages/django/templatetags/tz.py first seen with mtime 1714344749.5059528
DEBUG 2024-04-28 22:56:20,959 autoreload File /usr/local/lib/python3.8/site-packages/django/db/backends/utils.py first seen with mtime 1714344749.455953
DEBUG 2024-04-28 22:56:20,959 autoreload File /usr/local/lib/python3.8/site-packages/django/db/migrations/operations/special.py first seen with mtime 1714344749.4659529
DEBUG 2024-04-28 22:56:20,959 autoreload File /usr/local/lib/python3.8/concurrent/futures/_base.py first seen with mtime 1713964026.0
DEBUG 2024-04-28 22:56:20,959 autoreload File /usr/local/lib/python3.8/site-packages/django/db/models/fields/related_descriptors.py first seen with mtime 1714344749.4759529
